name,release,genres,metascore,users_score,platforms,publisher,num_of_players,rating,developer
Red Dead Redemption 2,26-Oct-18,"['Action Adventure', 'Open-World']",97,8.6,"['PC', 'Xbox One']",Rockstar Games,Up to 32 ,M,Rockstar Games
Grand Theft Auto V,18-Nov-14,"['Action Adventure', 'Modern', 'Open-World']",97,8.4,"['PC', 'Xbox One']",Rockstar Games,Up to 30 ,M,Rockstar North
Persona 5 Royal,31-Mar-20,"['Role-Playing', 'Japanese-Style']",95,8.4,,Atlus,No Online Multiplayer,M,Atlus
The Last of Us Remastered,29-Jul-14,"['Action Adventure', 'General', 'Modern']",95,9.2,,SCEA,Up to 8 ,M,Naughty Dog
God of War,20-Apr-18,"['Action Adventure', 'Linear']",94,9.2,['PC'],Sony Interactive Entertainment,No Online Multiplayer,M,SCE Santa Monica
The Last of Us Part II,19-Jun-20,"['General', 'Action Adventure', 'Survival']",93,5.7,,"['SCEA', 'Sony Interactive Entertainment']",No Online Multiplayer,M,Naughty Dog
Persona 5,4-Apr-17,"['Role-Playing', 'Japanese-Style']",93,8.7,,Atlus,No Online Multiplayer,M,Atlus
Metal Gear Solid V: The Phantom Pain,1-Sep-15,"['Modern', 'Action Adventure', 'Modern', 'Open-World']",93,8.2,"['PC', 'Xbox One']",Konami,Up to 16 ,M,"['Kojima Productions', 'Moby Dick Studio']"
Uncharted 4: A Thief's End,10-May-16,"['General', 'Modern', 'Action Adventure', 'Linear']",93,8.8,,"['SCEA', 'Sony Interactive Entertainment']",Up to 10 ,T,Naughty Dog
Journey,21-Jul-15,"['Action', 'Platformer', '3D']",92,8.3,['PC'],SCEA,2,E,Tricky Pixels
Bloodborne,24-Mar-15,"['Fantasy', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG']",92,8.9,,SCEA,Up to 5 ,M,From Software
Undertale,15-Aug-17,"['Role-Playing', 'Japanese-Style']",92,7.1,"['PC', 'Xbox One']","['tobyfox', 'Sony Interactive Entertainment', 'Fangamer', '8-4']",No Online Multiplayer,E10+,"['tobyfox', '8-4']"
The Witcher 3: Wild Hunt,19-May-15,"['Action RPG', 'Role-Playing', 'Action RPG']",92,9.2,"['PC', 'Xbox One']",Warner Bros. Interactive Entertainment,No Online Multiplayer,M,CD Projekt Red Studio
Divinity: Original Sin II - Definitive Edition,31-Aug-18,"['Role-Playing', 'Western-Style']",92,7.9,"['PC', 'Xbox One']",Larian Studios Games,Up to 4 ,M,Larian Studios Games
Final Fantasy XIV: Shadowbringers,2-Jul-19,"['Role-Playing', 'Massively Multiplayer']",91,8.4,['PC'],Square Enix,,T,Square Enix
Shadow of the Colossus,6-Feb-18,"['Action Adventure', 'General']",91,7.7,,Sony Interactive Entertainment,No Online Multiplayer,T,"['Bluepoint Games', 'SCE Japan Studio']"
