name,release,genres,metascore,users_score,publisher,rating,developer,is_Multiplayer,month,year,is_Exclusive,is_best
Red Dead Redemption 2,2018-10-26,"['Action Adventure', 'Open-World']",97,86.0,Rockstar Games,4,Rockstar Games,1,10,2018,0,1
Grand Theft Auto V,2014-11-18,"['Action Adventure', 'Modern', 'Open-World']",97,84.0,Rockstar Games,4,Rockstar Games,1,11,2014,0,1
Persona 5 Royal,2020-03-31,"['Role-Playing', 'Japanese-Style']",95,84.0,Atlus,4,Atlus,0,3,2020,1,1
The Last of Us Remastered,2014-07-29,"['Action Adventure', 'General', 'Modern']",95,92.0,SCEA,4,Naughty Dog,1,7,2014,1,1
God of War,2018-04-20,"['Action Adventure', 'Linear']",94,92.0,Sony Interactive Entertainment,4,SCE Santa Monica,0,4,2018,0,1
The Last of Us Part II,2020-06-19,"['General', 'Action Adventure', 'Survival']",93,57.0,"['SCEA', 'Sony Interactive Entertainment']",4,Naughty Dog,0,6,2020,1,1
Persona 5,2017-04-04,"['Role-Playing', 'Japanese-Style']",93,87.0,Atlus,4,Atlus,0,4,2017,1,1
Metal Gear Solid V: The Phantom Pain,2015-09-01,"['Modern', 'Action Adventure', 'Modern', 'Open-World']",93,82.0,Konami,4,"['Kojima Productions', 'Moby Dick Studio']",1,9,2015,0,1
Uncharted 4: A Thief's End,2016-05-10,"['General', 'Modern', 'Action Adventure', 'Linear']",93,88.0,"['SCEA', 'Sony Interactive Entertainment']",3,Naughty Dog,1,5,2016,1,1
Journey,2015-07-21,"['Action', 'Platformer', '3D']",92,83.0,SCEA,1,Tricky Pixels,1,7,2015,0,1
Bloodborne,2015-03-24,"['Fantasy', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG']",92,89.0,SCEA,4,From Software,1,3,2015,1,1
Undertale,2017-08-15,"['Role-Playing', 'Japanese-Style']",92,71.0,"['tobyfox', 'Sony Interactive Entertainment', 'Fangamer', '8-4']",2,"['tobyfox', '8-4']",0,8,2017,0,1
The Witcher 3: Wild Hunt,2015-05-19,"['Action RPG', 'Role-Playing', 'Action RPG']",92,92.0,Warner Bros. Interactive Entertainment,4,CD Projekt Red Studio,0,5,2015,0,1
Divinity: Original Sin II - Definitive Edition,2018-08-31,"['Role-Playing', 'Western-Style']",92,79.0,Larian Studios Games,4,Larian Studios Games,1,8,2018,0,1
